ID,N_VICTIMAS,AÑO,MES,DIA_SEMANA,DIA_SEMANA_NOM,HORA,TIPO_DE_CALLE,VIAS_INVOL,INTERSECCION,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2016-0125,1,2016,9,5,SÁBADO,12.233333333333333,AUTOPISTA,"['AUTOPISTA PERITO MORENO', 'ALBERDI, JUAN BAUTISTA AV.']",1,10,MOTO-MOTO,MOTO,MOTO,-58.49020869,-34.64243791
2016-0126,2,2016,9,6,DOMINGO,22.75,CALLE,"['IRIGOYEN', 'TINOGASTA']",1,10,AUTO-CARGAS,AUTO,CARGAS,-58.52572109,-34.62125906
2016-0127,1,2016,9,5,SÁBADO,10.416666666666666,AVENIDA,"['ACOSTA, MARIANO', 'ROCA, CNEL. AV.']",1,8,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.44094791,-34.66677111
2016-0128,1,2016,10,6,DOMINGO,11.5,AVENIDA,"['CASTRO', 'PAVON AV.']",1,5,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.41914024,-34.6305389
2016-0130,1,2016,10,1,MARTES,12.5,AUTOPISTA,['AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI'],0,1,MOTO-CARGAS,MOTO,CARGAS,-58.37910942,-34.62764717
2016-0131,1,2016,10,6,DOMINGO,19.216666666666665,CALLE,['MIRAVE'],0,4,PEATON-AUTO,PEATON,AUTO,-58.39871183,-34.64539318
2016-0132,1,2016,10,0,LUNES,2.5,AVENIDA,"['SAN JUAN AV.', '24 DE NOVIEMBRE']",1,3,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.41036975,-34.62477021
2016-0133,1,2016,10,4,VIERNES,0.08333333333333333,AVENIDA,"['LAS HERAS GENERAL AV.', 'SANCHEZ DE BUSTAMANTE']",1,14,MOTO-AUTO,MOTO,AUTO,-58.40204698,-34.5834269
2016-0134,1,2016,10,6,DOMINGO,5.0,AVENIDA,"['PIEDRA BUENA AV.', '2 DE ABRIL DE 1982']",1,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.48935287,-34.67648597
2016-0135,1,2016,10,0,LUNES,5.0,AVENIDA,"['FIGUEROA ALCORTA, PRES. AV.', 'PINEDO, INT.']",1,14,PEATON-SD,PEATON,SD,-58.42260225,-34.56403694
2016-0136,1,2016,10,1,MARTES,0.0,AUTOPISTA,['AUTOPISTA BUENOS AIRES - LA PLATA'],0,4,MOTO-CARGAS,MOTO,CARGAS,-58.37709334,-34.64035082
2016-0137,1,2016,10,1,MARTES,0.65,AVENIDA,"['SAN MARTIN AV.', 'LADINES']",1,11,MOTO-MOTO,MOTO,MOTO,-58.51537091,-34.59035925
