ID,AÑO,MES_NOM,MES,DIA_SEMANA_NOM,DIA_SEMANA,ROL,VICTIMA,SEXO,EDAD
2017-0110,2017,SEPTIEMBRE,9,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,56
2017-0111,2017,SEPTIEMBRE,9,JUEVES,3,PEATON,PEATON,FEMENINO,79
2017-0112,2017,SEPTIEMBRE,9,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1
2017-0112,2017,SEPTIEMBRE,9,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2017-0113,2017,SEPTIEMBRE,9,LUNES,0,PEATON,PEATON,FEMENINO,76
2017-0114,2017,SEPTIEMBRE,9,VIERNES,4,CONDUCTOR,AUTO,MASCULINO,26
2017-0115,2017,SEPTIEMBRE,9,MARTES,1,CONDUCTOR,MOTO,MASCULINO,34
2017-0116,2017,SEPTIEMBRE,9,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,22
2017-0118,2017,SEPTIEMBRE,9,VIERNES,4,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26
2017-0120,2017,OCTUBRE,10,LUNES,0,CONDUCTOR,MOTO,MASCULINO,20
2017-0123,2017,OCTUBRE,10,MARTES,1,PEATON,PEATON,FEMENINO,36
2017-0124,2017,OCTUBRE,10,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,51
2017-0125,2017,OCTUBRE,10,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,29
2017-0126,2017,OCTUBRE,10,SÁBADO,5,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39
2017-0126,2017,OCTUBRE,10,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,36
2017-0127,2017,OCTUBRE,10,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24
2017-0128,2017,OCTUBRE,10,MARTES,1,PEATON,PEATON,FEMENINO,60
